time,theta,beta,hip_vx,hip_vz
0.781,1.6346673704369767,0.20751065492063062,0.10000000000000286,0.0
0.782,1.634493067952284,0.2071313229424873,0.10000000000000286,0.0
0.783,1.634319075188305,0.206751926561436,0.10000000000000286,0.0
0.784,1.6341453922385487,0.20637246585917504,0.10000000000000286,0.0
0.785,1.6339720191964509,0.20599294091749742,0.10000000000000286,0.0
0.786,1.633798956155371,0.20561335181829105,0.10000000000000286,0.0
0.787,1.633626203208593,0.2052336986435386,0.10000000000000286,0.0
0.788,1.6334537604493273,0.2048539814753174,0.10000000000000286,0.0
0.789,1.633281627970706,0.20447420039579942,0.10000000000000286,0.0
0.79,1.6331098058657878,0.20409435548725122,0.10000000000000286,0.0
0.791,1.6329382942275539,0.2037144468320339,0.10000000000000286,0.0
0.792,1.6327670931489087,0.20333447451260311,0.10000000000000286,0.0
0.793,1.6325962027226808,0.20295443861150878,0.10000000000000286,0.0
0.794,1.6324256230416232,0.2025743392113952,0.10000000000000286,0.0
0.795,1.632255354198409,0.20219417639500117,0.10000000000000286,0.0
0.796,1.6320853962856354,0.20181395024515972,0.10000000000000286,0.0
0.797,1.6319157493958216,0.201433660844798,0.10000000000000286,0.0
0.798,1.6317464136214095,0.2010533082769373,0.10000000000000286,0.0
0.799,1.6315773890547611,0.20067289262469323,0.10000000000000286,0.0
0.8,1.631408675788163,0.2002924139712751,0.10000000000000286,0.0
0.801,1.6312402739138205,0.19991187239998653,0.10000000000000286,0.0
0.802,1.6310721835238615,0.19953126799422502,0.10000000000000286,0.0
0.803,1.6309044047103343,0.19915060083748176,0.10000000000000286,0.0
0.804,1.630736937565207,0.19876987101334212,0.10000000000000286,0.0
0.805,1.63056978218037,0.19838907860548485,0.10000000000000286,0.0
0.806,1.630402938647632,0.19800822369768273,0.10000000000000286,0.0
0.807,1.6302364070587227,0.19762730637380205,0.10000000000000286,0.0
0.808,1.6300701875052914,0.1972463267178026,0.10000000000000286,0.0
0.809,1.6299042800789048,0.19686528481373805,0.10000000000000286,0.0
0.81,1.629738684871053,0.1964841807457552,0.10000000000000286,0.0
0.811,1.6295734019731407,0.19610301459809454,0.10000000000000286,0.0
0.812,1.6294084314764934,0.19572178645508975,0.10000000000000286,0.0
0.8130000000000001,1.6292437734723548,0.19534049640116788,0.10000000000000286,0.0
0.8140000000000001,1.6290794280518874,0.19495914452084925,0.10000000000000286,0.0
0.8150000000000001,1.6289153953061692,0.1945777308987475,0.10000000000000286,0.0
0.8160000000000001,1.6287516753262006,0.19419625561956902,0.10000000000000286,0.0
0.8170000000000001,1.6285882682028943,0.1938147187681137,0.10000000000000286,0.0
0.8180000000000001,1.6284251740270836,0.19343312042927416,0.10000000000000286,0.0
0.8190000000000001,1.6282623928895172,0.1930514606880362,0.10000000000000286,0.0
0.8200000000000001,1.6280999248808607,0.1926697396294783,0.10000000000000286,0.0
0.8210000000000001,1.6279377700916966,0.1922879573387719,0.10000000000000286,0.0
0.8220000000000001,1.6277759286125246,0.19190611390118112,0.10000000000000286,0.0
0.8230000000000001,1.627614400533758,0.1915242094020629,0.10000000000000286,0.0
0.8240000000000001,1.627453185945728,0.19114224392686674,0.10000000000000286,0.0
0.8250000000000001,1.6272922849386804,0.19076021756113481,0.10000000000000286,0.0
0.8260000000000001,1.6271316976027774,0.19037813039050158,0.10000000000000286,0.0
0.8270000000000001,1.6269714240280952,0.18999598250069424,0.10000000000000286,0.0
0.8280000000000001,1.6268114643046248,0.18961377397753224,0.10000000000000286,0.0
0.8290000000000001,1.6266518185222714,0.18923150490692742,0.10000000000000286,0.0
0.8300000000000001,1.6264924867708561,0.18884917537488374,0.10000000000000286,0.0
0.8310000000000001,1.626333469140113,0.18846678546749757,0.10000000000000286,0.0
0.8320000000000001,1.626174765719691,0.18808433527095716,0.10000000000000286,0.0
0.833,1.6260163765991509,0.18770182487154322,0.10000000000000286,0.0
0.834,1.6258583018679686,0.18731925435562802,0.10000000000000286,0.0
0.835,1.6257005416155328,0.18693662380967613,0.10000000000000286,0.0
0.836,1.6255430959311445,0.1865539333202438,0.10000000000000286,0.0
0.837,1.6253859649040183,0.18617118297397914,0.10000000000000286,0.0
0.838,1.6252291486232806,0.185788372857622,0.10000000000000286,0.0
0.839,1.6250726471779693,0.185405503058004,0.10000000000000286,0.0
0.84,1.6249164606570354,0.18502257366204816,0.10000000000000286,0.0
0.841,1.624760589149342,0.18463958475676925,0.10000000000000286,0.0
0.842,1.6246050327436643,0.18425653642927328,0.10000000000000286,0.0
0.843,1.624449791528686,0.18387342876675794,0.10000000000000286,0.0
0.844,1.6242948655930045,0.183490261856512,0.10000000000000286,0.0
0.845,1.6241402550251263,0.18310703578591583,0.10000000000000286,0.0
0.846,1.6239859599134692,0.1827237506424407,0.10000000000000286,0.0
0.847,1.6238319803463623,0.182340406513649,0.10000000000000286,0.0
0.848,1.6236783164120432,0.1819570034871944,0.10000000000000286,0.0
0.849,1.6235249681986608,0.18157354165082146,0.10000000000000286,0.0
0.85,1.6233719357942729,0.18119002109236557,0.10000000000000286,0.0
0.851,1.6232192192868469,0.18080644189975306,0.10000000000000286,0.0
0.852,1.623066818764258,0.18042280416100123,0.10000000000000286,0.0
0.853,1.622914734314293,0.1800391079642177,0.10000000000000286,0.0
0.854,1.6227629660246454,0.17965535339760105,0.10000000000000286,0.0
0.855,1.6226115139829194,0.17927154054944014,0.10000000000000286,0.0
0.856,1.6224603782766251,0.17888766950811455,0.10000000000000286,0.0
0.857,1.6223095589931809,0.17850374036209432,0.10000000000000286,0.0
0.858,1.6221590562199146,0.17811975319993964,0.10000000000000286,0.0
0.859,1.6220088700440591,0.1777357081103012,0.10000000000000286,0.0
0.86,1.621859000552758,0.17735160518191967,0.10000000000000286,0.0
0.861,1.6217094478330594,0.176967444503626,0.10000000000000286,0.0
0.862,1.6215602119719192,0.17658322616434102,0.10000000000000286,0.0
0.863,1.6214112930562001,0.17619895025307591,0.10000000000000286,0.0
0.864,1.621262691172671,0.17581461685893127,0.10000000000000286,0.0
0.865,1.6211144064080074,0.1754302260710979,0.10000000000000286,0.0
0.866,1.62096643884879,0.17504577797885623,0.10000000000000286,0.0
0.867,1.620818788581506,0.1746612726715764,0.10000000000000286,0.0
0.868,1.6206714556925472,0.17427671023871813,0.10000000000000286,0.0
0.869,1.6205244402682129,0.17389209076983056,0.10000000000000286,0.0
0.87,1.6203777423947043,0.17350741435455255,0.10000000000000286,0.0
0.871,1.62023136215813,0.17312268108261217,0.10000000000000286,0.0
0.872,1.6200852996445019,0.17273789104382686,0.10000000000000286,0.0
0.873,1.6199395549397366,0.17235304432810322,0.10000000000000286,0.0
0.874,1.619794128129655,0.171968141025437,0.10000000000000286,0.0
0.875,1.619649019299982,0.1715831812259131,0.10000000000000286,0.0
0.876,1.6195042285363466,0.17119816501970525,0.10000000000000286,0.0
0.877,1.6193597559242805,0.17081309249707624,0.10000000000000286,0.0
0.878,1.619215601549219,0.17042796374837768,0.10000000000000286,0.0
0.879,1.6190717654965006,0.17004277886404992,0.10000000000000286,0.0
0.88,1.6189282478513662,0.16965753793462193,0.10000000000000286,0.0
0.881,1.61878504869896,0.1692722410507113,0.10000000000000286,0.0
0.882,1.6186421681243284,0.16888688830302415,0.10000000000000286,0.0
0.883,1.6184996062124197,0.16850147978235497,0.10000000000000286,0.0
0.884,1.6183573630480843,0.1681160155795868,0.10000000000000286,0.0
0.885,1.6182154387160737,0.16773049578569085,0.10000000000000286,0.0
0.886,1.6180738333010418,0.16734492049172642,0.10000000000000286,0.0
0.887,1.617932546887544,0.16695928978884092,0.10000000000000286,0.0
0.888,1.6177915795600353,0.16657360376827007,0.10000000000000286,0.0
0.889,1.617650931402872,0.16618786252133722,0.10000000000000286,0.0
0.89,1.6175106025003128,0.1658020661394536,0.10000000000000286,0.0
0.891,1.617370592936514,0.1654162147141186,0.10000000000000286,0.0
0.892,1.6172309027955345,0.16503030833691884,0.10000000000000286,0.0
0.893,1.6170915321613313,0.16464434709952888,0.10000000000000286,0.0
0.894,1.6169524811177636,0.16425833109371052,0.10000000000000286,0.0
0.895,1.6168137497485862,0.1638722604113133,0.10000000000000286,0.0
0.896,1.6166753381374563,0.163486135144274,0.10000000000000286,0.0
0.897,1.61653724636793,0.16309995538461658,0.10000000000000286,0.0
0.898,1.616399474523461,0.1627137212244524,0.10000000000000286,0.0
0.899,1.6162620226874018,0.16232743275597983,0.10000000000000286,0.0
0.9,1.6161248909430046,0.16194109007148413,0.10000000000000286,0.0
0.901,1.6159880793734183,0.1615546932633378,0.10000000000000286,0.0
0.902,1.6158515880616904,0.1611682424239998,0.10000000000000286,0.0
0.903,1.6157154170907666,0.16078173764601628,0.10000000000000286,0.0
0.904,1.61557956654349,0.16039517902201966,0.10000000000000286,0.0
0.905,1.6154440365026002,0.16000856664472926,0.10000000000000286,0.0
0.906,1.6153088270507339,0.15962190060695078,0.10000000000000286,0.0
0.907,1.615173938270426,0.15923518100157646,0.10000000000000286,0.0
0.908,1.615039370244108,0.15884840792158458,0.10000000000000286,0.0
0.909,1.614905123054106,0.15846158146003994,0.10000000000000286,0.0
0.91,1.6147711967826446,0.1580747017100934,0.10000000000000286,0.0
0.911,1.614637591511843,0.15768776876498192,0.10000000000000286,0.0
0.912,1.6145043073237164,0.15730078271802833,0.10000000000000286,0.0
0.913,1.6143713443001757,0.15691374366264138,0.10000000000000286,0.0
0.914,1.6142387025230283,0.15652665169231564,0.10000000000000286,0.0
0.915,1.6141063820739756,0.1561395069006314,0.10000000000000286,0.0
0.916,1.6139743830346134,0.1557523093812546,0.10000000000000286,0.0
0.917,1.613842705486434,0.15536505922793656,0.10000000000000286,0.0
0.918,1.6137113495108226,0.15497775653451423,0.10000000000000286,0.0
0.919,1.6135803151890602,0.15459040139490962,0.10000000000000286,0.0
0.92,1.6134496026023202,0.15420299390313033,0.10000000000000286,0.0
0.921,1.613319211831672,0.15381553415326887,0.10000000000000286,0.0
0.922,1.6131891429580765,0.1534280222395029,0.10000000000000286,0.0
0.923,1.61305939606239,0.153040458256095,0.10000000000000286,0.0
0.924,1.6129299712253609,0.15265284229739273,0.10000000000000286,0.0
0.925,1.6128008685276312,0.15226517445782836,0.10000000000000286,0.0
0.926,1.6126720880497356,0.15187745483191886,0.10000000000000286,0.0
0.927,1.6125436298721012,0.15148968351426573,0.10000000000000286,0.0
0.928,1.6124154940750473,0.15110186059955516,0.10000000000000286,0.0
0.929,1.6122876807387856,0.1507139861825577,0.10000000000000286,0.0
0.93,1.6121601899434217,0.150326060358128,0.10000000000000286,0.0
0.931,1.6120330217689505,0.1499380832212051,0.10000000000000286,0.0
0.932,1.6119061762952593,0.14955005486681225,0.10000000000000286,0.0
0.933,1.6117796536021265,0.1491619753900565,0.10000000000000286,0.0
0.934,1.611653453769222,0.1487738448861291,0.10000000000000286,0.0
0.935,1.6115275768761081,0.14838566345030477,0.10000000000000286,0.0
0.936,1.6114020230022352,0.14799743117794242,0.10000000000000286,0.0
0.937,1.6112767922269453,0.1476091481644843,0.10000000000000286,0.0
0.9380000000000001,1.6111518846294721,0.14722081450545627,0.10000000000000286,0.0
0.9390000000000001,1.6110273002889377,0.14683243029646767,0.10000000000000286,0.0
0.9400000000000001,1.6109030392843549,0.14644399563321112,0.10000000000000286,0.0
0.9410000000000001,1.6107791016946251,0.1460555106114626,0.10000000000000286,0.0
0.9420000000000001,1.6106554875985415,0.14566697532708117,0.10000000000000286,0.0
0.9430000000000001,1.6105321970747848,0.14527838987600894,0.10000000000000286,0.0
0.9440000000000001,1.610409230201926,0.14488975435427096,0.10000000000000286,0.0
0.9450000000000001,1.6102865870584233,0.1445010688579752,0.10000000000000286,0.0
0.9460000000000001,1.6101642677226244,0.1441123334833124,0.10000000000000286,0.0
0.9470000000000001,1.6100422722727674,0.1437235483265559,0.10000000000000286,0.0
0.9480000000000001,1.6099206007869769,0.1433347134840615,0.10000000000000286,0.0
0.9490000000000001,1.6097992533432643,0.1429458290522676,0.10000000000000286,0.0
0.9500000000000001,1.6096782300195314,0.142556895127695,0.10000000000000286,0.0
0.9510000000000001,1.6095575308935663,0.1421679118069466,0.10000000000000286,0.0
0.9520000000000001,1.6094371560430438,0.14177887918670767,0.10000000000000286,0.0
0.9530000000000001,1.6093171055455286,0.14138979736374518,0.10000000000000286,0.0
0.9540000000000001,1.609197379478471,0.14100066643490833,0.10000000000000286,0.0
0.9550000000000001,1.6090779779192077,0.14061148649712804,0.10000000000000286,0.0
0.9560000000000001,1.608958900944962,0.14022225764741705,0.10000000000000286,0.0
0.9570000000000001,1.608840148632845,0.13983297998286973,0.10000000000000286,0.0
0.9580000000000001,1.6087217210598526,0.1394436536006619,0.10000000000000286,0.0
0.9590000000000001,1.6086036183028676,0.139054278598051,0.10000000000000286,0.0
0.96,1.6084858404386582,0.13866485507237566,0.10000000000000286,0.0
0.961,1.6083683875438792,0.13827538312105564,0.10000000000000286,0.0
0.962,1.6082512596950693,0.13788586284159193,0.10000000000000286,0.0
0.963,1.6081344569686544,0.1374962943315666,0.10000000000000286,0.0
0.964,1.6080179794409435,0.13710667768864257,0.10000000000000286,0.0
0.965,1.6079018271881318,0.13671701301056347,0.10000000000000286,0.0
0.966,1.6077860002862987,0.13632730039515378,0.10000000000000286,0.0
0.967,1.6076704988114088,0.13593753994031843,0.10000000000000286,0.0
0.968,1.6075553228393091,0.135547731744043,0.10000000000000286,0.0
0.969,1.607440472445733,0.13515787590439327,0.10000000000000286,0.0
0.97,1.607325947706296,0.13476797251951542,0.10000000000000286,0.0
0.971,1.6072117486964976,0.13437802168763582,0.10000000000000286,0.0
0.972,1.6070978754917216,0.13398802350706082,0.10000000000000286,0.0
0.973,1.6069843281672347,0.13359797807617665,0.10000000000000286,0.0
0.974,1.6068711067981862,0.1332078854934495,0.10000000000000286,0.0
0.975,1.6067582114596095,0.13281774585742523,0.10000000000000286,0.0
0.976,1.6066456422264195,0.1324275592667293,0.10000000000000286,0.0
0.977,1.606533399173414,0.13203732582006683,0.10000000000000286,0.0
0.978,1.6064214823752727,0.13164704561622226,0.10000000000000286,0.0
0.979,1.6063098919065584,0.1312567187540592,0.10000000000000286,0.0
0.98,1.6061986278417144,0.13086634533252067,0.10000000000000286,0.0
0.981,1.6060876902550656,0.13047592545062864,0.10000000000000286,0.0
0.982,1.6059770792208217,0.130085459207484,0.10000000000000286,0.0
0.983,1.6058667948130696,0.1296949467022665,0.10000000000000286,0.0
0.984,1.6057568371057809,0.1293043880342347,0.10000000000000286,0.0
0.985,1.605647206172805,0.12891378330272582,0.10000000000000286,0.0
0.986,1.6055379020878735,0.12852313260715556,0.10000000000000286,0.0
0.987,1.6054289249245983,0.1281324360470179,0.10000000000000286,0.0
0.988,1.6053202747564719,0.12774169372188535,0.10000000000000286,0.0
0.989,1.6052119516568677,0.1273509057314084,0.10000000000000286,0.0
0.99,1.6051039556990379,0.12696007217531563,0.10000000000000286,0.0
0.991,1.6049962869561138,0.12656919315341378,0.10000000000000286,0.0
0.992,1.6048889455011093,0.12617826876558716,0.10000000000000286,0.0
0.993,1.6047819314069138,0.12578729911179798,0.10000000000000286,0.0
0.994,1.6046752447462997,0.12539628429208588,0.10000000000000286,0.0
0.995,1.6045688855919151,0.1250052244065683,0.10000000000000286,0.0
0.996,1.6044628540162893,0.12461411955543983,0.10000000000000286,0.0
0.997,1.6043571500918288,0.12422296983897237,0.10000000000000286,0.0
0.998,1.604251773890819,0.12383177535751497,0.10000000000000286,0.0
0.999,1.6041467254854245,0.1234405362114937,0.10000000000000286,0.0
1.0,1.6040420049476871,0.12304925250141167,0.10000000000000286,0.0
1.0010000000000001,1.6039376123495264,0.12265792432784862,0.10000000000000286,0.0
1.002,1.6038335477627397,0.12226655179146108,0.10000000000000286,0.0
1.0030000000000001,1.603729811259002,0.12187513499298222,0.10000000000000286,0.0
1.004,1.6036264029098655,0.12148367403322148,0.10000000000000286,0.0
1.0050000000000001,1.6035233227867596,0.12109216901306478,0.10000000000000286,0.0
1.006,1.60342057096099,0.12070062003347426,0.10000000000000286,0.0
1.0070000000000001,1.6033181475037415,0.12030902719548801,0.10000000000000286,0.0
1.008,1.603216052486073,0.11991739060022023,0.10000000000000286,0.0
1.0090000000000001,1.6031142859789198,0.11952571034886102,0.10000000000000286,0.0
1.01,1.6030128480530943,0.11913398654267615,0.10000000000000286,0.0
1.0110000000000001,1.6029117387792857,0.11874221928300698,0.10000000000000286,0.0
1.012,1.6028109582280576,0.1183504086712704,0.10000000000000286,0.0
1.0130000000000001,1.60271050646985,0.11795855480895874,0.10000000000000286,0.0
1.014,1.6026103835749779,0.11756665779763946,0.10000000000000286,0.0
1.0150000000000001,1.6025105896136322,0.11717471773895535,0.10000000000000286,0.0
1.016,1.6024111246558788,0.11678273473462407,0.10000000000000286,0.0
1.0170000000000001,1.602311988771657,0.11639070888643828,0.10000000000000286,0.0
1.018,1.6022131820307834,0.11599864029626535,0.10000000000000286,0.0
1.0190000000000001,1.6021147045029462,0.11560652906604742,0.10000000000000286,0.0
1.02,1.6020165562577109,0.11521437529780097,0.10000000000000286,0.0
1.0210000000000001,1.601918737364515,0.11482217909361712,0.10000000000000286,0.0
1.022,1.6018212478926706,0.11442994055566115,0.10000000000000286,0.0
1.0230000000000001,1.6017240879113648,0.11403765978617243,0.10000000000000286,0.0
1.024,1.6016272574896566,0.11364533688746459,0.10000000000000286,0.0
1.025,1.6015307566964794,0.11325297196192503,0.10000000000000286,0.0
1.026,1.6014345856006398,0.11286056511201494,0.10000000000000286,0.0
1.027,1.601338744270817,0.11246811644026923,0.10000000000000286,0.0
1.028,1.6012432327755635,0.1120756260492964,0.10000000000000286,0.0
1.029,1.6011480511833043,0.11168309404177838,0.10000000000000286,0.0
1.03,1.6010531995623374,0.11129052052047024,0.10000000000000286,0.0
